Img;Dia;Hora;Pir;Sar;Tar;Tex;Taq;Urt
2018-09-04 16_19_33.png;04_09_2018;16_19_33;31.154;0.038;10.454;16.011;17.15;107.711
2018-09-04 16_19_49.png;04_09_2018;16_19_49;31.221;0.036;10.294;16;17.161;107.773
2018-09-04 16_20_05.png;04_09_2018;16_20_05;31.912;0.181;10.377;15.963;17.165;107.721
2018-09-04 16_20_21.png;04_09_2018;16_20_21;31.991;0.046;10.349;15.971;17.114;108.351
2018-09-04 16_20_36.png;04_09_2018;16_20_36;32.238;0.031;10.464;15.977;17.141;115.165
2018-09-04 16_20_52.png;04_09_2018;16_20_52;32.445;0.044;10.357;15.977;17.147;37.351
2018-09-04 16_21_08.png;04_09_2018;16_21_08;32.933;0.038;10.333;15.981;17.116;34.505
2018-09-04 16_21_24.png;04_09_2018;16_21_24;33.33;0.06;10.341;15.983;17.161;29.869
2018-09-04 16_21_39.png;04_09_2018;16_21_39;33.805;0.185;10.387;16.002;17.132;28.443
2018-09-04 16_21_55.png;04_09_2018;16_21_55;34.184;0.033;10.414;15.992;17.056;27.123
2018-09-04 16_22_11.png;04_09_2018;16_22_11;34.252;0.053;10.368;16.031;17.06;26.736
2018-09-04 16_22_27.png;04_09_2018;16_22_27;34.506;0.043;10.505;16.001;17.031;26.215
2018-09-04 16_22_43.png;04_09_2018;16_22_43;35.311;0.078;10.309;16.02;17.024;25.604
2018-09-04 16_22_58.png;04_09_2018;16_22_58;35.805;0.08;10.299;16.023;17.06;25.183
2018-09-04 16_23_14.png;04_09_2018;16_23_14;36.007;0.094;10.323;16.02;17.052;24.818
2018-09-04 16_23_30.png;04_09_2018;16_23_30;36.526;0.081;10.315;16.04;17.046;24.661
2018-09-04 16_23_46.png;04_09_2018;16_23_46;37.006;0.059;10.412;16.021;17.028;24.44
2018-09-04 16_24_01.png;04_09_2018;16_24_01;37.567;0.069;10.301;16.07;17.062;23.973
2018-09-04 16_24_17.png;04_09_2018;16_24_17;38.098;1.019;10.405;16.109;17.074;23.407
2018-09-04 16_24_33.png;04_09_2018;16_24_33;38.545;0.14;10.576;16.115;17.063;23.052
2018-09-04 16_24_49.png;04_09_2018;16_24_49;38.928;0.071;10.519;16.106;16.998;22.928
2018-09-04 16_25_04.png;04_09_2018;16_25_04;39.279;0.052;10.569;16.105;16.986;22.586
2018-09-04 16_25_20.png;04_09_2018;16_25_20;39.97;0.025;10.536;16.115;16.953;22.114
2018-09-04 16_25_36.png;04_09_2018;16_25_36;40.733;0.069;10.576;16.09;16.983;21.624
2018-09-04 16_25_52.png;04_09_2018;16_25_52;40.876;0.113;10.609;16.123;16.951;21.206
2018-09-04 16_26_07.png;04_09_2018;16_26_07;41.646;0.111;10.503;16.149;16.908;21.027
2018-09-04 16_26_23.png;04_09_2018;16_26_23;41.925;0.115;10.5;16.145;16.906;20.787
2018-09-04 16_26_39.png;04_09_2018;16_26_39;42.635;0.14;10.347;16.14;16.898;20.425
2018-09-04 16_26_55.png;04_09_2018;16_26_55;42.954;1.373;10.578;16.283;16.942;19.617
2018-09-04 16_27_11.png;04_09_2018;16_27_11;43.439;0.264;10.338;16.268;16.905;19.276
2018-09-04 16_27_26.png;04_09_2018;16_27_26;43.694;0.937;10.391;16.293;16.956;19.178
2018-09-04 16_27_42.png;04_09_2018;16_27_42;44.57;1.67;10.409;16.263;16.941;19.386
2018-09-04 16_27_58.png;04_09_2018;16_27_58;45.524;1.085;10.451;16.278;16.934;19.417
2018-09-04 16_28_14.png;04_09_2018;16_28_14;47.178;0.162;10.173;16.273;16.93;19.523
2018-09-04 16_28_29.png;04_09_2018;16_28_29;48.616;0.313;10.231;16.25;16.888;19.469
2018-09-04 16_28_45.png;04_09_2018;16_28_45;55.241;0.131;10.14;16.36;16.868;19.46
2018-09-04 16_29_01.png;04_09_2018;16_29_01;61.357;0.387;10.525;16.348;16.893;19.797
2018-09-04 16_29_17.png;04_09_2018;16_29_17;66.413;0.352;10.27;16.334;16.947;19.891
2018-09-04 16_29_33.png;04_09_2018;16_29_33;75.241;0.191;10.308;16.401;16.943;19.806
2018-09-04 16_29_48.png;04_09_2018;16_29_48;73.083;0.263;10.238;16.45;16.884;19.964
2018-09-04 16_30_04.png;04_09_2018;16_30_04;76.908;0.327;10.295;16.468;16.847;20.002
2018-09-04 16_30_20.png;04_09_2018;16_30_20;86.143;0.316;10.221;16.525;16.822;19.832
2018-09-04 16_30_36.png;04_09_2018;16_30_36;91.367;0.314;10.153;16.566;16.805;19.939
2018-09-04 16_30_51.png;04_09_2018;16_30_51;89.978;1.689;10.313;16.586;16.834;20.176
2018-09-04 16_31_07.png;04_09_2018;16_31_07;86.429;2.271;10.365;16.624;16.785;19.578
2018-09-04 16_31_23.png;04_09_2018;16_31_23;78.041;1.144;10.303;16.622;16.821;19.775
2018-09-04 16_31_38.png;04_09_2018;16_31_38;69.56;0.194;10.27;16.616;16.781;20.035
2018-09-04 16_31_54.png;04_09_2018;16_31_54;59.847;0.57;10.401;16.545;16.773;20.465
2018-09-04 16_32_10.png;04_09_2018;16_32_10;60.291;0.172;10.193;16.526;16.74;20.544
2018-09-04 16_32_26.png;04_09_2018;16_32_26;60.703;0.371;10.293;16.483;16.789;20.874
2018-09-04 16_32_41.png;04_09_2018;16_32_41;54.198;1.275;10.28;16.489;16.781;21.025
2018-09-04 16_32_57.png;04_09_2018;16_32_57;51.417;1.418;10.319;16.434;16.75;21.21
2018-09-04 16_33_13.png;04_09_2018;16_33_13;44.966;1.467;10.38;16.391;16.741;21.333
2018-09-04 16_33_29.png;04_09_2018;16_33_29;43.383;0.393;10.299;16.356;16.679;21.425
2018-09-04 16_33_45.png;04_09_2018;16_33_45;42.4;0.158;10.242;16.269;16.66;21.609
2018-09-04 16_34_00.png;04_09_2018;16_34_00;42.112;0.183;10.19;16.237;16.691;21.628
2018-09-04 16_34_16.png;04_09_2018;16_34_16;41.929;0.545;10.323;16.269;16.68;21.693
2018-09-04 16_34_32.png;04_09_2018;16_34_32;42.725;1.434;10.265;16.226;16.646;21.844
2018-09-04 16_34_48.png;04_09_2018;16_34_48;51.962;1.461;10.267;16.203;16.665;22.061
2018-09-04 16_35_03.png;04_09_2018;16_35_03;56.391;0.187;10.288;16.269;16.64;22.275
2018-09-04 16_35_19.png;04_09_2018;16_35_19;52.352;1.101;10.233;16.263;16.646;22.578
2018-09-04 16_35_35.png;04_09_2018;16_35_35;40.564;0.926;10.176;16.207;16.657;24.592
2018-09-04 16_35_51.png;04_09_2018;16_35_51;38.862;1.977;10.356;16.224;16.618;25.258
2018-09-04 16_36_07.png;04_09_2018;16_36_07;37.92;0.754;10.169;16.182;16.624;25.7
2018-09-04 16_36_22.png;04_09_2018;16_36_22;37.657;0.131;10.087;16.14;16.603;25.98
2018-09-04 16_36_38.png;04_09_2018;16_36_38;37.74;0.122;9.98;16.061;16.571;26.227
2018-09-04 16_36_54.png;04_09_2018;16_36_54;37.723;0.325;10.07;16.02;16.547;26.413
2018-09-04 16_37_10.png;04_09_2018;16_37_10;37.583;0.206;10.078;15.998;16.562;26.602
2018-09-04 16_37_25.png;04_09_2018;16_37_25;37.769;0.093;10.101;15.967;16.57;26.827
2018-09-04 16_37_41.png;04_09_2018;16_37_41;38.135;0.099;10.019;15.924;16.52;26.973
2018-09-04 16_37_57.png;04_09_2018;16_37_57;38.356;0.043;10.095;15.928;16.503;26.928
2018-09-04 16_38_13.png;04_09_2018;16_38_13;38.593;0.049;10.121;15.919;16.484;27.112
2018-09-04 16_38_28.png;04_09_2018;16_38_28;39.059;0.209;10.063;15.875;16.411;27.229
2018-09-04 16_38_44.png;04_09_2018;16_38_44;39.473;0.041;10.159;15.861;16.407;27.405
2018-09-04 16_39_00.png;04_09_2018;16_39_00;39.789;0.037;10.195;15.861;16.394;27.495
2018-09-04 16_39_16.png;04_09_2018;16_39_16;39.987;0.345;10.123;15.869;16.378;27.591
2018-09-04 16_39_31.png;04_09_2018;16_39_31;40.439;0.341;10.057;15.875;16.458;27.571
2018-09-04 16_39_47.png;04_09_2018;16_39_47;40.747;0.073;10.041;15.862;16.419;27.615
2018-09-04 16_40_03.png;04_09_2018;16_40_03;41.625;0.233;10.023;15.858;16.39;27.726
2018-09-04 16_40_19.png;04_09_2018;16_40_19;42.189;0.129;10.103;15.864;16.39;27.803
2018-09-04 16_40_34.png;04_09_2018;16_40_34;42.764;0.08;10.03;15.864;16.346;27.879
2018-09-04 16_40_50.png;04_09_2018;16_40_50;43.348;0.158;9.972;15.887;16.347;27.886
2018-09-04 16_41_06.png;04_09_2018;16_41_06;44.018;0.105;9.892;15.876;16.369;27.929
2018-09-04 16_41_21.png;04_09_2018;16_41_21;45.08;0.111;9.897;15.876;16.362;28.047
2018-09-04 16_41_37.png;04_09_2018;16_41_37;45.68;0.069;9.975;15.897;16.333;28.127
